TestNumber,Principal,Operation,Resource,Granted,Milliseconds
461,Principal 0044,Operation 0001,Resource 4752,Y,0.0025
462,Principal 0103,Operation 0007,Resource 11356,N,0.0006
463,Principal 0127,Operation 0005,Resource 2248,N,0.0028
464,Principal 0100,Operation 0002,Resource 5409,N,0.0022
465,Principal 0145,Operation 0002,Resource 7363,N,0.0028
466,Principal 0142,Operation 0007,Resource 8129,N,0.0028
467,Principal 0106,Operation 0006,Resource 5615,N,0.0032
468,Principal 0133,Operation 0006,Resource 3290,N,0.0028
469,Principal 0125,Operation 0004,Resource 8262,N,0.0028
470,Principal 0112,Operation 0004,Resource 2775,N,0.0022
471,Principal 0136,Operation 0013,Resource 14756,N,0.0006
472,Principal 0084,Operation 0001,Resource 13599,N,0.0006
473,Principal 0022,Operation 0013,Resource 13428,N,0.0006
474,Principal 0033,Operation 0005,Resource 1533,Y,0.0028
475,Principal 0116,Operation 0004,Resource 6309,N,0.0028
476,Principal 0109,Operation 0014,Resource 8729,N,0.0012
477,Principal 0108,Operation 0010,Resource 10284,N,0.0006
478,Principal 0009,Operation 0014,Resource 8089,N,0.0012
479,Principal 0057,Operation 0006,Resource 9234,Y,0.0025
480,Principal 0015,Operation 0012,Resource 3429,N,0.0009
481,Principal 0031,Operation 0002,Resource 1371,Y,0.0022
482,Principal 0144,Operation 0011,Resource 3914,N,0.0012
483,Principal 0057,Operation 0006,Resource 1390,Y,0.0025
484,Principal 0088,Operation 0012,Resource 8354,N,0.0012
485,Principal 0097,Operation 0007,Resource 1002,Y,0.0025
486,Principal 0041,Operation 0002,Resource 2365,Y,0.0032
487,Principal 0120,Operation 0002,Resource 4443,N,0.0032
488,Principal 0145,Operation 0001,Resource 8717,N,0.0025
489,Principal 0075,Operation 0012,Resource 12997,N,0.0006
490,Principal 0067,Operation 0003,Resource 9415,Y,0.0028
491,Principal 0044,Operation 0001,Resource 0934,Y,0.0022
492,Principal 0100,Operation 0001,Resource 3804,N,0.0028
493,Principal 0002,Operation 0012,Resource 7108,N,0.0009
494,Principal 0024,Operation 0005,Resource 8354,Y,0.0016
495,Principal 0073,Operation 0002,Resource 12755,N,0.0012
496,Principal 0020,Operation 0006,Resource 7536,Y,0.0022
497,Principal 0071,Operation 0002,Resource 4412,Y,0.0025
498,Principal 0069,Operation 0005,Resource 11118,N,0.0006
499,Principal 0139,Operation 0004,Resource 1109,N,0.0025
500,Principal 0077,Operation 0007,Resource 13617,N,0.0003
501,Principal 0059,Operation 0014,Resource 3391,N,0.0012
502,Principal 0070,Operation 0005,Resource 11273,N,0.0003
503,Principal 0074,Operation 0014,Resource 7202,N,0.0016
504,Principal 0122,Operation 0004,Resource 4421,N,0.0025
505,Principal 0102,Operation 0009,Resource 11314,N,0.0006
506,Principal 0111,Operation 0007,Resource 13393,N,0.0006
507,Principal 0109,Operation 0006,Resource 6630,N,0.0035
508,Principal 0055,Operation 0014,Resource 1079,N,0.0012
509,Principal 0050,Operation 0012,Resource 11249,N,0.0006
510,Principal 0048,Operation 0011,Resource 11615,N,0.0006
511,Principal 0027,Operation 0008,Resource 5218,Y,0.0019
512,Principal 0085,Operation 0011,Resource 6321,N,0.0012
513,Principal 0050,Operation 0001,Resource 12636,N,0.0003
514,Principal 0015,Operation 0009,Resource 6432,Y,0.0019
515,Principal 0004,Operation 0010,Resource 12718,N,0.0003
516,Principal 0149,Operation 0011,Resource 9895,N,0.0009
517,Principal 0148,Operation 0003,Resource 11369,N,0.0003
518,Principal 0027,Operation 0011,Resource 1425,N,0.0012
519,Principal 0070,Operation 0001,Resource 14404,N,0.0006
520,Principal 0023,Operation 0002,Resource 6900,Y,0.0022
521,Principal 0001,Operation 0003,Resource 3686,Y,0.0019
522,Principal 0106,Operation 0009,Resource 11412,N,0.0006
523,Principal 0142,Operation 0002,Resource 13108,N,0.0006
524,Principal 0050,Operation 0006,Resource 6827,Y,0.0022
525,Principal 0008,Operation 0009,Resource 11048,N,0.0006
526,Principal 0002,Operation 0005,Resource 4691,Y,0.0019
527,Principal 0034,Operation 0005,Resource 0886,Y,0.0022
528,Principal 0014,Operation 0005,Resource 8117,Y,0.0028
529,Principal 0003,Operation 0014,Resource 10815,N,0.0003
530,Principal 0038,Operation 0002,Resource 11023,N,0.0006
531,Principal 0069,Operation 0003,Resource 13395,N,0.0003
532,Principal 0057,Operation 0002,Resource 6907,Y,0.0025
533,Principal 0028,Operation 0005,Resource 0386,Y,0.0022
534,Principal 0013,Operation 0001,Resource 9845,Y,0.0019
535,Principal 0118,Operation 0010,Resource 11772,N,0.0006
536,Principal 0046,Operation 0002,Resource 2214,Y,0.0022
537,Principal 0054,Operation 0007,Resource 10328,N,0.0006
538,Principal 0097,Operation 0014,Resource 11957,N,0.0006
539,Principal 0060,Operation 0013,Resource 12593,N,0.0003
540,Principal 0105,Operation 0010,Resource 9524,N,0.0012
541,Principal 0006,Operation 0010,Resource 0264,N,0.0009
542,Principal 0021,Operation 0013,Resource 3473,N,0.0012
543,Principal 0084,Operation 0010,Resource 8022,N,0.0009
544,Principal 0042,Operation 0012,Resource 0379,N,0.0009
545,Principal 0043,Operation 0002,Resource 4227,Y,0.0022
546,Principal 0060,Operation 0005,Resource 10199,N,0.0003
547,Principal 0113,Operation 0010,Resource 13022,N,0.0003
548,Principal 0086,Operation 0013,Resource 9715,N,0.0019
549,Principal 0007,Operation 0012,Resource 3700,N,0.0009
550,Principal 0015,Operation 0014,Resource 2788,N,0.0012
551,Principal 0093,Operation 0007,Resource 9409,Y,0.0025
552,Principal 0059,Operation 0001,Resource 5376,Y,0.0028
553,Principal 0096,Operation 0010,Resource 11735,N,0.0003
554,Principal 0083,Operation 0011,Resource 6936,N,0.0012
555,Principal 0092,Operation 0002,Resource 9336,Y,0.0028
556,Principal 0099,Operation 0006,Resource 11896,N,0.0006
557,Principal 0077,Operation 0014,Resource 9103,N,0.0012
558,Principal 0024,Operation 0014,Resource 14634,N,0.0003
559,Principal 0115,Operation 0007,Resource 11992,N,0.0003
560,Principal 0056,Operation 0002,Resource 0874,Y,0.0022
561,Principal 0147,Operation 0007,Resource 10299,N,0.0012
562,Principal 0052,Operation 0010,Resource 5276,N,0.0012
563,Principal 0060,Operation 0013,Resource 1346,N,0.0012
564,Principal 0138,Operation 0011,Resource 9864,N,0.0009
565,Principal 0134,Operation 0003,Resource 14595,N,0.0006
566,Principal 0061,Operation 0014,Resource 12184,N,0.0006
567,Principal 0004,Operation 0006,Resource 6794,Y,0.0016
568,Principal 0068,Operation 0009,Resource 14747,N,0.0006
569,Principal 0087,Operation 0007,Resource 7952,Y,0.0025
570,Principal 0098,Operation 0009,Resource 8714,Y,0.0028
571,Principal 0084,Operation 0004,Resource 8313,Y,0.0028
572,Principal 0108,Operation 0008,Resource 4115,N,0.0028
573,Principal 0116,Operation 0004,Resource 6406,N,0.0028
574,Principal 0041,Operation 0004,Resource 6965,Y,0.0019
575,Principal 0105,Operation 0009,Resource 3516,N,0.0028
576,Principal 0142,Operation 0004,Resource 11179,N,0.0003
577,Principal 0001,Operation 0006,Resource 7585,Y,0.0016
578,Principal 0148,Operation 0005,Resource 10643,N,0.0006
579,Principal 0091,Operation 0008,Resource 13287,N,0.0006
580,Principal 0105,Operation 0011,Resource 2909,N,0.0012
581,Principal 0123,Operation 0011,Resource 4085,N,0.0012
582,Principal 0076,Operation 0006,Resource 7425,Y,0.0025
583,Principal 0016,Operation 0003,Resource 9518,Y,0.0019
584,Principal 0105,Operation 0009,Resource 10452,N,0.0003
585,Principal 0058,Operation 0011,Resource 1767,N,0.0009
586,Principal 0148,Operation 0011,Resource 14826,N,0.0006
587,Principal 0112,Operation 0009,Resource 2991,N,0.0028
588,Principal 0117,Operation 0010,Resource 3943,N,0.0009
589,Principal 0012,Operation 0009,Resource 13863,N,0.0006
590,Principal 0126,Operation 0002,Resource 0558,N,0.0028
591,Principal 0058,Operation 0002,Resource 7408,Y,0.0025
592,Principal 0035,Operation 0007,Resource 7784,Y,0.0019
593,Principal 0029,Operation 0003,Resource 3414,Y,0.0019
594,Principal 0111,Operation 0012,Resource 1328,N,0.0012
595,Principal 0017,Operation 0005,Resource 10967,N,0.0006
596,Principal 0121,Operation 0009,Resource 8850,N,0.0025
597,Principal 0089,Operation 0009,Resource 11717,N,0.0006
598,Principal 0134,Operation 0014,Resource 2105,N,0.0012
599,Principal 0149,Operation 0001,Resource 1460,N,0.0025
600,Principal 0002,Operation 0007,Resource 11891,N,0.0006
601,Principal 0086,Operation 0004,Resource 0820,Y,0.0028
602,Principal 0090,Operation 0005,Resource 8364,Y,0.0025
603,Principal 0031,Operation 0003,Resource 4583,Y,0.0025
604,Principal 0090,Operation 0012,Resource 8332,N,0.0012
605,Principal 0114,Operation 0001,Resource 11758,N,0.0003
606,Principal 0017,Operation 0010,Resource 5177,N,0.0012
607,Principal 0080,Operation 0004,Resource 14545,N,0.0006
608,Principal 0050,Operation 0004,Resource 7533,Y,0.0025
609,Principal 0039,Operation 0007,Resource 1766,Y,0.0019
610,Principal 0053,Operation 0004,Resource 6186,Y,0.0022
611,Principal 0063,Operation 0003,Resource 11417,N,0.0003
612,Principal 0065,Operation 0003,Resource 8806,Y,0.0032
613,Principal 0006,Operation 0008,Resource 14905,N,0.0003
614,Principal 0026,Operation 0009,Resource 6749,Y,0.0019
615,Principal 0043,Operation 0014,Resource 12301,N,0.0003
616,Principal 0034,Operation 0002,Resource 14177,N,0.0006
617,Principal 0054,Operation 0013,Resource 5439,N,0.0009
618,Principal 0113,Operation 0007,Resource 2508,N,0.0025
619,Principal 0123,Operation 0004,Resource 0089,N,0.0032
620,Principal 0083,Operation 0005,Resource 12286,N,0.0003
621,Principal 0066,Operation 0012,Resource 13702,N,0.0003
622,Principal 0134,Operation 0003,Resource 9209,N,0.0028
623,Principal 0119,Operation 0005,Resource 12612,N,0.0006
624,Principal 0030,Operation 0002,Resource 2412,Y,0.0019
625,Principal 0053,Operation 0006,Resource 9906,Y,0.0019
626,Principal 0078,Operation 0001,Resource 3901,Y,0.0035
627,Principal 0102,Operation 0001,Resource 5318,N,0.0028
628,Principal 0026,Operation 0014,Resource 5324,N,0.0019
629,Principal 0008,Operation 0010,Resource 10573,N,0.0003
630,Principal 0089,Operation 0009,Resource 13981,N,0.0006
631,Principal 0087,Operation 0007,Resource 2578,Y,0.0025
632,Principal 0027,Operation 0011,Resource 11348,N,0.0003
633,Principal 0080,Operation 0006,Resource 12232,N,0.0006
634,Principal 0031,Operation 0007,Resource 12158,N,0.0003
635,Principal 0016,Operation 0003,Resource 12099,N,0.0003
636,Principal 0031,Operation 0006,Resource 1794,Y,0.0025
637,Principal 0076,Operation 0005,Resource 2802,Y,0.0025
638,Principal 0112,Operation 0013,Resource 4667,N,0.0009
639,Principal 0070,Operation 0004,Resource 12784,N,0.0003
640,Principal 0084,Operation 0012,Resource 7619,N,0.0012
641,Principal 0136,Operation 0003,Resource 10714,N,0.0003
642,Principal 0136,Operation 0009,Resource 8934,N,0.0025
643,Principal 0148,Operation 0003,Resource 9366,N,0.0022
644,Principal 0135,Operation 0014,Resource 9875,N,0.0009
645,Principal 0067,Operation 0007,Resource 8986,Y,0.0022
646,Principal 0082,Operation 0001,Resource 12561,N,0.0006
647,Principal 0082,Operation 0012,Resource 4029,N,0.0009
648,Principal 0088,Operation 0002,Resource 4626,Y,0.0025
649,Principal 0112,Operation 0012,Resource 9166,N,0.0009
650,Principal 0129,Operation 0010,Resource 6996,N,0.0009
651,Principal 0135,Operation 0014,Resource 8221,N,0.0012
652,Principal 0046,Operation 0005,Resource 3464,Y,0.0022
653,Principal 0015,Operation 0003,Resource 8161,Y,0.0019
654,Principal 0032,Operation 0003,Resource 3361,Y,0.0028
655,Principal 0074,Operation 0009,Resource 4800,Y,0.0025
656,Principal 0079,Operation 0005,Resource 5915,Y,0.0025
657,Principal 0107,Operation 0013,Resource 2987,N,0.0009
658,Principal 0003,Operation 0001,Resource 14929,N,0.0006
659,Principal 0036,Operation 0005,Resource 1697,Y,0.0022
660,Principal 0061,Operation 0003,Resource 11703,N,0.0006
661,Principal 0147,Operation 0002,Resource 7000,N,0.0025
662,Principal 0024,Operation 0014,Resource 0083,N,0.0016
663,Principal 0017,Operation 0002,Resource 2685,Y,0.0028
664,Principal 0055,Operation 0007,Resource 13088,N,0.0006
665,Principal 0044,Operation 0005,Resource 9527,Y,0.0019
666,Principal 0007,Operation 0002,Resource 7265,Y,0.0022
667,Principal 0148,Operation 0004,Resource 8011,N,0.0025
668,Principal 0033,Operation 0003,Resource 11842,N,0.0003
669,Principal 0040,Operation 0013,Resource 14514,N,0.0006
670,Principal 0083,Operation 0001,Resource 14600,N,0.0003
671,Principal 0018,Operation 0010,Resource 0483,N,0.0009
672,Principal 0114,Operation 0004,Resource 1271,N,0.0025
673,Principal 0113,Operation 0005,Resource 9050,N,0.0025
674,Principal 0047,Operation 0006,Resource 2465,Y,0.0022
675,Principal 0033,Operation 0005,Resource 7093,Y,0.0022
676,Principal 0049,Operation 0011,Resource 10093,N,0.0006
677,Principal 0054,Operation 0003,Resource 3503,Y,0.0028
678,Principal 0094,Operation 0006,Resource 14198,N,0.0003
679,Principal 0037,Operation 0011,Resource 14691,N,0.0003
680,Principal 0101,Operation 0013,Resource 1652,N,0.0009
681,Principal 0006,Operation 0008,Resource 1032,Y,0.0019
682,Principal 0031,Operation 0004,Resource 11359,N,0.0006
683,Principal 0126,Operation 0008,Resource 1665,N,0.0025
684,Principal 0083,Operation 0005,Resource 11295,N,0.0006
685,Principal 0132,Operation 0010,Resource 11982,N,0.0003
686,Principal 0056,Operation 0001,Resource 12072,N,0.0003
687,Principal 0048,Operation 0014,Resource 2521,N,0.0009
688,Principal 0044,Operation 0003,Resource 13100,N,0.0003
689,Principal 0111,Operation 0007,Resource 4094,N,0.0025
690,Principal 0013,Operation 0008,Resource 6879,Y,0.0019
691,Principal 0016,Operation 0002,Resource 6697,Y,0.0028
692,Principal 0074,Operation 0004,Resource 12907,N,0.0006
693,Principal 0015,Operation 0001,Resource 1404,Y,0.0019
694,Principal 0107,Operation 0007,Resource 2877,N,0.0032
695,Principal 0084,Operation 0012,Resource 13614,N,0.0006
696,Principal 0072,Operation 0011,Resource 11153,N,0.0006
697,Principal 0023,Operation 0013,Resource 11496,N,0.0006
698,Principal 0027,Operation 0006,Resource 14250,N,0.0006
699,Principal 0141,Operation 0011,Resource 5475,N,0.0012
700,Principal 0030,Operation 0007,Resource 11420,N,0.0006
701,Principal 0073,Operation 0011,Resource 0181,N,0.0009
702,Principal 0098,Operation 0007,Resource 3105,Y,0.0025
703,Principal 0046,Operation 0006,Resource 5960,Y,0.0022
704,Principal 0140,Operation 0004,Resource 14874,N,0.0006
705,Principal 0106,Operation 0009,Resource 6818,N,0.0025
706,Principal 0146,Operation 0011,Resource 5744,N,0.0012
707,Principal 0144,Operation 0004,Resource 11117,N,0.0006
708,Principal 0079,Operation 0014,Resource 9618,N,0.0012
709,Principal 0104,Operation 0014,Resource 10794,N,0.0003
710,Principal 0074,Operation 0008,Resource 8001,Y,0.0032
711,Principal 0074,Operation 0013,Resource 8160,N,0.0009
712,Principal 0050,Operation 0004,Resource 10970,N,0.0006
713,Principal 0027,Operation 0013,Resource 5467,N,0.0012
714,Principal 0105,Operation 0003,Resource 5402,N,0.0032
715,Principal 0052,Operation 0003,Resource 9033,Y,0.0025
716,Principal 0116,Operation 0007,Resource 11392,N,0.0006
717,Principal 0074,Operation 0014,Resource 0157,N,0.0009
718,Principal 0147,Operation 0004,Resource 3096,N,0.0025
719,Principal 0004,Operation 0014,Resource 12254,N,0.0006
720,Principal 0056,Operation 0014,Resource 7718,N,0.0016
721,Principal 0073,Operation 0012,Resource 12547,N,0.0006
722,Principal 0129,Operation 0007,Resource 5611,N,0.0025
723,Principal 0067,Operation 0006,Resource 5549,Y,0.0025
724,Principal 0108,Operation 0012,Resource 12347,N,0.0012
725,Principal 0003,Operation 0004,Resource 1283,Y,0.0022
726,Principal 0057,Operation 0003,Resource 10926,N,0.0003
727,Principal 0006,Operation 0013,Resource 7009,N,0.0009
728,Principal 0144,Operation 0001,Resource 8782,N,0.0025
729,Principal 0078,Operation 0008,Resource 10057,N,0.0003
730,Principal 0051,Operation 0005,Resource 4141,Y,0.0019
731,Principal 0137,Operation 0012,Resource 14241,N,0.0003
732,Principal 0127,Operation 0003,Resource 5455,N,0.0032
733,Principal 0079,Operation 0007,Resource 11500,N,0.0006
734,Principal 0034,Operation 0005,Resource 1267,Y,0.0022
735,Principal 0059,Operation 0011,Resource 2539,N,0.0012
736,Principal 0028,Operation 0014,Resource 14469,N,0.0003
737,Principal 0019,Operation 0009,Resource 11580,N,0.0003
738,Principal 0014,Operation 0005,Resource 0643,Y,0.0019
739,Principal 0008,Operation 0008,Resource 12139,N,0.0006
740,Principal 0038,Operation 0005,Resource 13938,N,0.0003
741,Principal 0105,Operation 0002,Resource 1004,N,0.0028
742,Principal 0014,Operation 0012,Resource 14813,N,0.0006
743,Principal 0131,Operation 0003,Resource 0778,N,0.0028
744,Principal 0108,Operation 0013,Resource 10511,N,0.0003
745,Principal 0144,Operation 0012,Resource 8852,N,0.0009
746,Principal 0058,Operation 0008,Resource 3428,Y,0.0025
747,Principal 0063,Operation 0005,Resource 8250,Y,0.0025
748,Principal 0106,Operation 0004,Resource 10093,N,0.0006
749,Principal 0076,Operation 0012,Resource 7156,N,0.0009
750,Principal 0136,Operation 0012,Resource 10291,N,0.0006
751,Principal 0083,Operation 0004,Resource 2121,Y,0.0032
752,Principal 0125,Operation 0008,Resource 3257,N,0.0028
753,Principal 0003,Operation 0005,Resource 14454,N,0.0006
754,Principal 0028,Operation 0005,Resource 11924,N,0.0003
755,Principal 0137,Operation 0006,Resource 11727,N,0.0003
756,Principal 0011,Operation 0002,Resource 7816,Y,0.0019
757,Principal 0068,Operation 0010,Resource 14348,N,0.0012
758,Principal 0087,Operation 0012,Resource 0078,N,0.0012
759,Principal 0057,Operation 0014,Resource 13400,N,0.0006
760,Principal 0059,Operation 0009,Resource 14743,N,0.0006
761,Principal 0077,Operation 0014,Resource 5489,N,0.0012
762,Principal 0055,Operation 0003,Resource 8770,Y,0.0019
763,Principal 0084,Operation 0002,Resource 4293,Y,0.0025
764,Principal 0056,Operation 0006,Resource 4126,Y,0.0025
765,Principal 0040,Operation 0004,Resource 0336,Y,0.0019
766,Principal 0113,Operation 0012,Resource 12264,N,0.0003
767,Principal 0133,Operation 0007,Resource 10484,N,0.0006
768,Principal 0143,Operation 0007,Resource 2072,N,0.0028
769,Principal 0109,Operation 0014,Resource 6569,N,0.0012
770,Principal 0021,Operation 0007,Resource 7903,Y,0.0019
771,Principal 0049,Operation 0009,Resource 10586,N,0.0006
772,Principal 0147,Operation 0010,Resource 5193,N,0.0009
773,Principal 0064,Operation 0008,Resource 3474,Y,0.0025
